0;KM TRANSPORTES RODOVIARIOS DE ;CTRCs EXPEDIDOS;PERIODO DE EMISSAO: 06/04/26 A 06/04/26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Serie/Numero CTRC;Tipo do Documento;Data de Emissao;Hora de Emissao;Data de Autorizacao;Hora de Autorizacao;Login;Placa de Coleta;Cliente Remetente;Cliente Expedidor;Cliente Pagador;Cidade do Destinatario;UF do Destinatario;Local de Entrega;UF de Entrega;Unidade Receptora;Numero da Nota Fiscal;Peso Real em Kg;Cubagem em m3;Quantidade de Volumes;Valor da Mercadoria;Valor do Frete;Peso Calculado em Kg;Frete Peso;Frete Valor;Codigo da Ultima Ocorrencia;Data de inclusao da Ultima Ocorrencia;Data da Ultima Ocorrencia;Usuario da Ultima Ocorrencia;Unidade da Ultima Ocorrencia;Descricao da Ultima Ocorrencia;Latitude da Ultima Ocorrencia;Longitude da Ultima Ocorrencia;Previsao de Entrega;Entrega Programada;Data da Entrega Realizada;Quantidade de Dias de Atraso;Localizacao Atual;Data do Cancelamento;Motivo do Cancelamento;Codigo dos Correios;Notas Fiscais;Numero dos Pedidos;Chaves NF-es;Capa de Canhoto de NF;Volumes;Volume Cliente/Shipment;Observacao;Distancia em Km;Conferente de Coleta;Complemento
2;CGN190450-7;NORMAL;06/04/2026;10:17;06/04/2026;10:17;rmasseli;ARMAPCS;WB COMPONENTES AUTOMOTIVOS LTDA;WB COMPONENTES AUTOMOTIVOS LTDA;WB COMPONENTES AUTOMOTIVOS LTDA;CAMPO GRANDE;MS;;MS;CGR;34482;6,984;0;1;1121,67;59,15;6,984;33,55;0;85;06/04/2026;06/04/2026;jhonatsp;KMT - CGR;Saida para entrega na cidade de CAMPO GRANDE.;;;08/04/2026;;;0;KMT CGR - EM ENTREGA;;;;1/34482 ;;50260408528393000546550010000344821752067799 ;;254251467283-254251467285 ;;;2;CONFEREN;0
2;CGN190451-5;NORMAL;06/04/2026;10:17;06/04/2026;10:17;rmasseli;ARMAPCS;S E S PECAS AUTOMOTIVAS LTDA;S E S PECAS AUTOMOTIVAS LTDA;S E S PECAS AUTOMOTIVAS LTDA;CAMPO GRANDE;MS;;MS;CGR;11704;70,329;0;4;5793,17;124,68;70,329;31,65;57,93;85;06/04/2026;06/04/2026;jhonatsp;KMT - CGR;Saida para entrega na cidade de CAMPO GRANDE.;;;08/04/2026;;;0;KMT CGR - EM ENTREGA;;;;1/11704 ;;50260408873587001801550010000117041005289767 ;;254251467286-254251467291 ;;;2;CONFEREN;0
2;CGN190452-3;NORMAL;06/04/2026;11:38;06/04/2026;16:49;thiagdsv;ARMAAND;DISTRIBUIDORA ANDRAPASSO MS LT;DISTRIBUIDORA ANDRAPASSO MS LT;DISTRIBUIDORA ANDRAPASSO MS LT;CAMPO GRANDE;MS;;MS;CGR;69263;42,62;0,2946;11;2173,47;80,69;88,38;29,17;21,73;1;07/04/2026;07/04/2026;marcmara;KMT - CGR;CTRC ENTREGUE (SSWMOBILE). CO2 emitido para transportar esta mercadoria: 35,2g.;-20,51734333;-54,64881;09/04/2026;;07/04/2026;0;CTRC ENTREGUE/BAIXADO;;;;1/69264, 1/69263 ;;50260408243456000194550010000692641911360508, 50260408243456000194550010000692631139131145 ;;254251468518-254251468529, 254251468515-254251468517 ;;;2;LUIZCSIL;0
2;CGN190453-1;NORMAL;06/04/2026;14:52;06/04/2026;14:52;vsmateus;ARMAZEM;SOIN CORP LTDA;SOIN CORP LTDA;BINHO TRANSPORTES E LOGISTICA LTDA;GUARULHOS;SP;ATACADAO DIST COM IND LTDA;MS;CGR;23780;468,12;0;119;12329,27;500;468,12;0;500;99;06/04/2026;06/04/2026;vsmateus;KMT - CGR;EMISSAO INCORRETA;;;10/04/2026;;;0;CTRC ENTREGUE/BAIXADO;06/04/2026;EMISSAO INCORRETA;;1/23780 ;;35260250590553000624550010000237801144407610 ;;254251471228-254251471348 ;;COMPLEMENTAR TAXA DE CARRO DEDICADO 3/4,CONFORME EMAIL,;2;CONFEREN;0
2;CGN190454-0;NORMAL;06/04/2026;15:12;06/04/2026;15:13;vsmateus;ARMAZEM;IND.E COM.SANTA MARIA LTDA;IND.E COM.SANTA MARIA LTDA;IND.E COM.SANTA MARIA LTDA;ITUVERAVA;SP;MERCADO MISTER JUNIOR LTDA;MS;CGR;279244;634,004;0;208;18502,56;336,35;634,004;0;336,35;93;06/04/2026;06/04/2026;vsmateus;KMT - CGR;CTRC EMITIDO PARA EFEITO DE FRETE/IMPOSTO;;;10/04/2026;;;0;CTRC ENTREGUE/BAIXADO;;;;2/279245, 2/279244 ;;35260349211717000171550020002792451099845370, 35260349211717000171550020002792441155700479 ;;254251472019-254251472028, 254251471817-254251472018 ;;REENTREGA CONFORME EMAIL,,;2;CONFEREN;0
2;CGN190455-8;NORMAL;06/04/2026;15:17;06/04/2026;15:18;vsmateus;ARMAZEM;IND.E COM.SANTA MARIA LTDA;IND.E COM.SANTA MARIA LTDA;IND.E COM.SANTA MARIA LTDA;ITUVERAVA;SP;MERCADO MISTER JUNIOR LTDA;MS;CGR;279252;606,674;0;215;18607,59;352,01;606,674;0;352,01;93;06/04/2026;06/04/2026;vsmateus;KMT - CGR;CTRC EMITIDO PARA EFEITO DE FRETE/IMPOSTO;;;10/04/2026;;;0;CTRC ENTREGUE/BAIXADO;;;;2/279253, 2/279252 ;;35260349211717000171550020002792531911620066, 35260349211717000171550020002792521827354825 ;;254251472208-254251472251, 254251472033-254251472207 ;;REENTREGA CONFORME EMAIL,,;2;CONFEREN;0
2;CGN190456-6;COMPLEMENTAR FRETE;06/04/2026;16:16;06/04/2026;16:24;tcardoso;LOGMILE;TRIUNFANTE BRASIL DISTRIBUIDOR;TRIUNFANTE BRASIL DISTRIBUIDOR;TRIUNFANTE BRASIL DISTRIBUIDOR;CAMPO GRANDE;MS;OLIVEIRA E CARNEIRO LTDA;MS;CGR;35781;1411,89;0;4;41882,8;58,3;1411,89;0;58,3;93;06/04/2026;06/04/2026;;;CTRC EMITIDO P/ COMPL. DO CGN189970-8 - COMPL REF TAXA DE DESCARGA - CGN 189970-8;;;09/04/2026;;;0;CTRC ENTREGUE/BAIXADO;;;;10/35781 ;;50260354777709001107550100000357811000961927 ;;254247676051-254247676056 ;;CTRC EMITIDO P/ COMPL. DO CGN189970-8,COMPL REF TAXA DE DESCARGA - CGN 189970-8,, - MOTIVO: descarga;3;;0
2;CGN190457-4;NORMAL;06/04/2026;16:43;06/04/2026;16:44;eaolivei;HTT0134;D ITALIA INDUSTRIA E COMERCIO;D ITALIA INDUSTRIA E COMERCIO;NEREU DUARTE;CAMPO GRANDE;MS;NEREU DUARTE;MS;CGR;83107;117,68;0;8;1508;143,85;117,68;66,37;19,6;99;06/04/2026;06/04/2026;eaolivei;KMT - CGR;TROCA DE CIDADE;;;09/04/2026;;;0;CTRC ENTREGUE/BAIXADO;06/04/2026;TROCA DE CIDADE;;1/83107 ;;50260401737359000109550010000831071003462742 ;;254250096286-254250096295 ;;;3;JOSEMADS;0
2;CGN190458-2;NORMAL;06/04/2026;17:39;06/04/2026;17:39;lpaz    ;ARMAHEN;M P S DISTRIBUIDORA MERCANTIL;M P S DISTRIBUIDORA MERCANTIL;M P S DISTRIBUIDORA MERCANTIL;CAMPO GRANDE;MS;VINICIUS COUTINHO CONSULTORIA E PERICIA S/S LTDA;MS;CGR;627656;29,65;0,19;2;2028,9;67,59;57;41,04;0;1;07/04/2026;07/04/2026;aranjeff;KMT - CGR;CTRC ENTREGUE (SSWMOBILE). CO2 emitido para transportar esta mercadoria: 11,5g.;-20,458775;-54,60034333;09/04/2026;;07/04/2026;0;CTRC ENTREGUE/BAIXADO;;;;1/627656 ;;50260409570732000434550010006276561984716151 ;;254251473732-254251473735 ;;;2;CONFEREN;0
2;CGN190459-1;NORMAL;06/04/2026;19:14;06/04/2026;21:19;vilasant;ARMAMP2;M P S DISTRIBUIDORA MERCANTIL;M P S DISTRIBUIDORA MERCANTIL;M P S DISTRIBUIDORA MERCANTIL;CAMPO GRANDE;MS;THALES FARIAS DUARTE;MS;CGR;627715;53;0,35;2;4237,62;74,86;105;26,25;21,19;80;06/04/2026;06/04/2026;vilasant;KMT - CGR;RPS emitida com 2 volumes e 53 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 09/04/26;;;09/04/2026;;;0;KMT CGR-RPS emitida com 2 volumes e 53 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 09/04/26;;;;1/627715 ;;50260409570732000434550010006277151717240751 ;;254251476438-254251476441 ;;;2;CONFEREN;0
